mode,depth,first_player,first_symbol,game_index,opening_move,winner,result,move_count,x_moves,o_moves,x_total_nodes,o_total_nodes,total_nodes,x_avg_nodes_per_move,o_avg_nodes_per_move,avg_nodes_per_move,x_total_time_s,o_total_time_s,total_search_time_s,x_avg_time_s,o_avg_time_s,avg_search_time_s,x_avg_evaluation,o_avg_evaluation,x_total_cutoffs,o_total_cutoffs,total_cutoffs,x_cache_hits,o_cache_hits,total_cache_hits,wall_time_s,max_candidates,max_moves
minimax,1,ai,O,1,"(4, 4)",O,ai_win,13,6,7,18,18,36,3.0,2.5714285714285716,2.769230769230769,0.003296799957752228,0.0033651000121608377,0.006661899969913065,0.0005494666596253713,0.00048072857316583395,0.0005124538438394666,5280.0,1448065.5714285714,0,0,0,0,0,0,0.007286099949851632,3,60
minimax,1,ai,O,2,"(4, 3)",O,ai_win,17,8,9,24,24,48,3.0,2.6666666666666665,2.823529411764706,0.005349699989892542,0.005372000043280423,0.010721700033172965,0.0006687124987365678,0.0005968888936978248,0.0006306882372454685,-805.0,1129724.3333333333,0,0,0,0,0,0,0.011625700048170984,3,60
minimax,1,ai,O,3,"(3, 4)",O,ai_win,17,8,9,24,24,48,3.0,2.6666666666666665,2.823529411764706,0.005249900161288679,0.005448800045996904,0.010698700207285583,0.0006562375201610848,0.0006054222273329893,0.0006293353063109167,-805.0,1129724.3333333333,0,0,0,0,0,0,0.011601599981077015,3,60
minimax,1,ai,O,4,"(4, 5)",O,ai_win,17,8,9,24,24,48,3.0,2.6666666666666665,2.823529411764706,0.00533550011459738,0.005515499971807003,0.010851000086404383,0.0006669375143246725,0.0006128333302007781,0.0006382941227296696,-15435.0,1143971.0,0,0,0,0,0,0,0.011785899987444282,3,60
minimax,1,ai,O,5,"(5, 4)",O,ai_win,17,8,9,24,24,48,3.0,2.6666666666666665,2.823529411764706,0.0056603000266477466,0.005590100074186921,0.011250400100834668,0.0007075375033309683,0.0006211222304652134,0.0006617882412255687,-19057.5,1147191.0,0,0,0,0,0,0,0.012211300083436072,3,60
minimax,1,ai,O,6,"(3, 3)",X,human_win,14,7,7,21,18,39,3.0,2.5714285714285716,2.7857142857142856,0.004126599873416126,0.00380469998344779,0.007931299856863916,0.0005895142676308751,0.00054352856906397,0.0005665214183474225,1410534.142857143,53771.42857142857,0,0,0,0,0,0,0.008591999998316169,3,60
minimax,1,ai,O,7,"(3, 5)",X,human_win,18,9,9,27,24,51,3.0,2.6666666666666665,2.8333333333333335,0.007433700026012957,0.007924400269985199,0.015358100295998156,0.0008259666695569953,0.0008804889188872443,0.0008532277942221197,1122162.111111111,19851.11111111111,0,0,0,0,0,0,0.016667300020344555,3,60
minimax,1,ai,O,8,"(5, 3)",O,ai_win,15,7,8,21,21,42,3.0,2.625,2.8,0.004396400065161288,0.004396000178530812,0.0087924002436921,0.0006280571521658983,0.0005495000223163515,0.00058616001624614,-43305.71428571428,1303647.375,0,0,0,0,0,0,0.009561099926941097,3,60
minimax,1,ai,O,9,"(5, 5)",O,ai_win,15,7,8,21,21,42,3.0,2.625,2.8,0.004360100021585822,0.004085800144821405,0.008445900166407228,0.0006228714316551175,0.0005107250181026757,0.0005630600110938152,-14620.0,1295102.375,0,0,0,0,0,0,0.009203199995681643,3,60
minimax,1,ai,O,10,"(4, 2)",O,ai_win,15,7,8,21,21,42,3.0,2.625,2.8,0.004235300119034946,0.004375400138087571,0.008610700257122517,0.0006050428741478495,0.0005469250172609463,0.0005740466838081678,-32105.714285714286,1289469.875,0,0,0,0,0,0,0.009354399982839823,3,60
minimax,1,human,X,1,"(4, 4)",X,human_win,13,7,6,18,18,36,2.5714285714285716,3.0,2.769230769230769,0.004035999882034957,0.0041377999586984515,0.008173799840733409,0.0005765714117192797,0.000689633326449742,0.00062875383390257,1448065.5714285714,5280.0,0,0,0,0,0,0,0.008881399990059435,3,60
minimax,1,human,X,2,"(4, 3)",X,human_win,17,9,8,24,24,48,2.6666666666666665,3.0,2.823529411764706,0.007199499872513115,0.0068880998296663165,0.014087599702179432,0.000799944430279235,0.0008610124787082896,0.0008286823354223195,1129724.3333333333,-805.0,0,0,0,0,0,0,0.015231600031256676,3,60
minimax,1,human,X,3,"(3, 4)",X,human_win,17,9,8,24,24,48,2.6666666666666665,3.0,2.823529411764706,0.0056683000875636935,0.0056140999076887965,0.01128239999525249,0.0006298111208404104,0.0007017624884610996,0.0006636705879560288,1129724.3333333333,-805.0,0,0,0,0,0,0,0.012186599895358086,3,60
minimax,1,human,X,4,"(4, 5)",X,human_win,17,9,8,24,24,48,2.6666666666666665,3.0,2.823529411764706,0.0077805002219974995,0.007391600287519395,0.015172100509516895,0.0008645000246663889,0.0009239500359399244,0.0008924765005598173,1143971.0,-15435.0,0,0,0,0,0,0,0.016465699998661876,3,60
minimax,1,human,X,5,"(5, 4)",X,human_win,17,9,8,24,24,48,2.6666666666666665,3.0,2.823529411764706,0.008277800166979432,0.008740500081330538,0.01701830024830997,0.0009197555741088258,0.0010925625101663172,0.0010010764851947041,1147191.0,-19057.5,0,0,0,0,0,0,0.018559200107119977,3,60
minimax,1,human,X,6,"(3, 3)",O,ai_win,14,7,7,18,21,39,2.5714285714285716,3.0,2.7857142857142856,0.005715599865652621,0.006730400025844574,0.012445999891497195,0.000816514266521803,0.0009614857179777962,0.0008889999922497996,53771.42857142857,1410534.142857143,0,0,0,0,0,0,0.013597499928437173,3,60
minimax,1,human,X,7,"(3, 5)",O,ai_win,18,9,9,24,27,51,2.6666666666666665,3.0,2.8333333333333335,0.006878499872982502,0.006544399890117347,0.01342289976309985,0.0007642777636647224,0.000727155543346372,0.0007457166535055472,19851.11111111111,1122162.111111111,0,0,0,0,0,0,0.014687699964269996,3,60
minimax,1,human,X,8,"(5, 3)",X,human_win,15,8,7,21,21,42,2.625,3.0,2.8,0.004606800153851509,0.004522899980656803,0.009129700134508312,0.0005758500192314386,0.0006461285686652575,0.0006086466756338875,1303647.375,-43305.71428571428,0,0,0,0,0,0,0.009896000032313168,3,60
minimax,1,human,X,9,"(5, 5)",X,human_win,15,8,7,21,21,42,2.625,3.0,2.8,0.004542000009678304,0.004633700125850737,0.009175700135529041,0.000567750001209788,0.0006619571608358196,0.0006117133423686027,1295102.375,-14620.0,0,0,0,0,0,0,0.009976599947549403,3,60
minimax,1,human,X,10,"(4, 2)",X,human_win,15,8,7,21,21,42,2.625,3.0,2.8,0.005614199675619602,0.005716800224035978,0.01133099989965558,0.0007017749594524503,0.000816685746290854,0.000755399993310372,1289469.875,-32105.714285714286,0,0,0,0,0,0,0.01230169995687902,3,60
minimax,2,ai,O,1,"(4, 4)",O,ai_win,13,6,7,72,69,141,12.0,9.857142857142858,10.846153846153847,0.01149109995458275,0.012334600207395852,0.023825700161978602,0.0019151833257637918,0.001762085743913693,0.0018327461663060463,-1673376.3333333333,1432657.0,0,0,0,0,0,0,0.02446989994496107,3,60
minimax,2,ai,O,2,"(4, 3)",O,ai_win,31,15,16,180,177,357,12.0,11.0625,11.516129032258064,0.05658870015759021,0.05412620003335178,0.11071490019094199,0.0037725800105060142,0.003382887502084486,0.0035714483932561933,-716419.8666666667,654253.6875,0,0,0,0,0,0,0.11347400001250207,3,60
minimax,2,ai,O,3,"(3, 4)",O,ai_win,31,15,16,180,177,357,12.0,11.0625,11.516129032258064,0.05299410002771765,0.05946449970360845,0.1124585997313261,0.0035329400018478435,0.0037165312314755283,0.0036276967655266483,-716419.8666666667,654253.6875,0,0,0,0,0,0,0.11558680003508925,3,60
