mode,depth,first_player,games,o_wins,x_wins,draws,o_win_rate,x_win_rate,first_player_wins,first_player_win_rate,avg_move_count,avg_total_nodes,avg_nodes_per_move,avg_x_nodes_per_move,avg_o_nodes_per_move,avg_total_search_time_s,avg_search_time_s,avg_x_time_s,avg_o_time_s,avg_x_evaluation,avg_o_evaluation,avg_total_cutoffs,avg_total_cache_hits
advanced,1,ai,10,5,5,0,0.5,0.5,5,0.5,8.5,15.0,1.757142857142857,1.9,1.65,0.07102529993280768,0.008122067134162145,0.008650603318431725,0.0076602074981201446,1006270.6666666666,1260852.5,0.0,0.0
advanced,1,human,10,5,5,0,0.5,0.5,5,0.5,8.5,15.0,1.757142857142857,1.65,1.9,0.07408309996826574,0.008405377568810114,0.0076846365054370844,0.009172263986741504,1260852.5,1006270.6666666666,0.0,0.0
advanced,2,ai,10,10,0,0,1.0,0.0,10,1.0,11.4,67.8,5.964848484848485,5.382857142857143,6.458333333333333,0.8247914699371904,0.07259850963075279,0.06839320485546653,0.07618631332443329,-20749.085714285713,1624212.0833333335,13.1,0.0
advanced,2,human,10,0,10,0,0.0,1.0,10,1.0,11.4,67.8,5.964848484848485,6.458333333333333,5.382857142857143,0.4971013500238769,0.043684954244262456,0.04463082750492807,0.04261690314094137,1624212.0833333335,-20749.085714285713,13.1,0.0
advanced,3,ai,10,10,0,0,1.0,0.0,10,1.0,10.6,151.8,14.357575757575756,18.490000000000002,10.93,0.4184978799778037,0.03919284100787752,0.0476371584989829,0.03216352599672973,483.6,3472987.746666667,28.5,0.0
advanced,3,human,10,0,10,0,0.0,1.0,10,1.0,10.6,151.8,14.357575757575756,10.93,18.490000000000002,0.6457590599777177,0.05973745373529241,0.04864298599539325,0.07305878550105263,3472987.746666667,483.6,28.5,0.0
advanced,4,ai,10,10,0,0,1.0,0.0,10,1.0,11.8,361.1,30.45919191919192,33.00857142857143,28.4,1.6551746699726209,0.13527639642282568,0.13564160642330533,0.13546268358525898,-1992401.6685714286,3266432.5100000002,97.9,1.6
advanced,4,human,10,0,10,0,0.0,1.0,10,1.0,11.8,361.1,30.45919191919192,28.4,33.00857142857143,3.190616430051159,0.25666988414601716,0.2675605342509031,0.2445454182946456,3266432.5100000002,-1992401.6685714286,97.9,1.6
advanced,5,ai,10,10,0,0,1.0,0.0,10,1.0,13.2,801.7,60.264444444444436,64.33571428571429,56.942499999999995,4.585230239981319,0.3345570631110523,0.32442521000463914,0.344274558495963,-1751350.8,4438378.7700000005,206.4,5.6
advanced,5,human,10,0,10,0,0.0,1.0,10,1.0,13.2,801.7,60.264444444444436,56.942499999999995,64.33571428571429,3.8887620200403035,0.279699601335451,0.29482945800060406,0.2627896871467653,4438378.7700000005,-1751350.8,206.4,5.6
alphabeta,1,ai,10,8,2,0,0.8,0.2,8,0.8,15.8,44.4,2.808239603533721,3.0,2.6351190476190474,0.01371127002639696,0.0008578598094933995,0.0008911833498305418,0.0008282238742732073,241184.23253968256,996051.8402777778,0.0,0.0
alphabeta,1,human,10,2,8,0,0.2,0.8,8,0.8,15.8,44.4,2.808239603533721,2.6351190476190474,3.0,0.011637799884192645,0.0007327982530290875,0.0006993972930349483,0.0007705063220725158,996051.8402777778,241184.23253968256,0.0,0.0
